pool,model,effort,seconds,chars,exit
anthropic,sonnet,low,8.252355936,468,1
anthropic,sonnet,high,9.353437448,468,1
anthropic,opus,xhigh,6.805369332,571,0
anthropic,fable,medium,11.807297909,514,0
anthropic,haiku,none,8.652704365,496,0
glm,glm-5.3,low,15.714971941,890,0
codex,gpt-5.6-luna,low,9.940334662,296253,0
codex,gpt-6-astra,medium,12.746808188,296200,0
codex,gpt-5.6-terra,high,13.797913671,296473,0
MEDIUM SWEEP DONE 2026-09-22T14:13:18+03:00
